prompt,response,label,polarity,subjectivity
How would you define success?,"How would you define success? “If one of my goals is to improve the economy for a large number more people, then I should be on top of that. That's not what we have with India at least.""",before,0.24285714285714283,0.36571428571428577
What is your favorite food and why?,What is your favorite food and why?” This post will be updated as more information was added.,before,0.5,0.75
How do you handle stress?,"How do you handle stress? I‹m not sure I can really talk through it. It's just a matter of when people start feeling anxious, and what kind are they going to be with their life on the outside or where things go wrong as well. But being",before,-0.03333333333333333,0.6564814814814813
What are your thoughts on silence?,"What are your thoughts on silence? I'm thinking about it now, and I'll keep reading this. For a while there were really no other words for me that could make you feel like someone else without any kind of background or even knowledge in the world if we had to be",before,0.33125,0.6375
What does comfort mean to you?,"What does comfort mean to you? A. There's nothing for a person who is struggling with anxiety or depression but it doesn't stop there, and the emotional response isn't as strong (and not necessarily because of how uncomfortable being in your situation). For those that experience no",before,-0.07583333333333334,0.8141666666666666
How do you feel about being alone?,"How do you feel about being alone? “I think I've found a lot of people who are trying to find ways to be more self-sufficient. They're looking for social change, but that's not what they want or need.""",before,0.26666666666666666,0.2833333333333333
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. The former presidential candidate, who has spent the last two years campaigning against Donald Trump and called Hillary Clinton an ‏antist‬ to help steer her party toward its goal of keeping America safe from terrorists in Afghanistan and Iraq during his first term",before,0.10833333333333334,0.2222222222222222
How do you feel about mornings?,How do you feel about mornings? I'm so glad that I've been able to break this law and get my kids back together.,before,0.3333333333333333,0.5416666666666666
Describe a walk in the park.,"Describe a walk in the park. The city of Columbus is not so big, it has some pretty nice people here that are also very good at walking around (or having fun with them). It’s just amazing to know how many things you have on your mind and even",before,0.4514285714285714,0.64
What makes a good day?,"What makes a good day? What is wrong with thinking on the subject of science versus politics. I'm not going to give you all that answers, but I hope this post will help others understand and explain what they were able for - it's important because my work has been",before,0.18666666666666668,0.6916666666666667
How would you define success?,"How would you define success? (Yes, I will.) The above example is for a small batch of Python code that we use to create and run an app. We are using three different languages: English, Ruby, C++, PHP, Java, Scala, Perl.",before,0.009999999999999998,0.22000000000000003
What is your favorite food and why?,"What is your favorite food and why? I've always been a vegetarian, but I usually prefer to eat at home instead of the kitchen. It's just too much for me when it comes time for some special things (like salad) or something else in my life that might not be",before,0.2017857142857143,0.5053571428571428
How do you handle stress?,How do you handle stress? It’s difficult to know if a person has more than one heart disorder. But I think there are two parts of it that we can learn from the experience: 1) Understand your own thoughts about how stressful things might be and avoid them,before,0.19999999999999998,0.8333333333333334
What are your thoughts on silence?,"What are your thoughts on silence? I'm not a fan of the ""silence"" kind of talk. I find it very disconcerting to hear people tell you that they don't want so much, but at least one person is trying hard to do something about this!",before,0.06708333333333331,0.46833333333333327
What does comfort mean to you?,"What does comfort mean to you? I don't know. If I'm a real person, then it's really not that important for me here and in my life."" -Lizzie May",before,0.04687500000000001,0.546875
How do you feel about being alone?,"How do you feel about being alone? Do your research on how to improve this relationship, or for whatever reason.",before,0.0,0.0
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. There is nothing we have to say about that night,‭ it will be better for us than not letting them know who they are in order to play football or win an FA Cup and make sure their team stays alive—and there's no denying",before,0.45,0.5305555555555556
How do you feel about mornings?,"How do you feel about mornings? I don't think so. I mean, the way people sleep is weird and when they're in bed at night (like on their morning) it's hard to stop wondering what everyone else has been up to for a while now because of being",before,-0.3680555555555556,0.7430555555555555
Describe a walk in the park.,"Describe a walk in the park. The only thing that’s not good for me is how I feel about my life, and what it means to be alive with those people who have been there ever since their birth: They are like mine or you as an adult. But",before,-0.03749999999999999,0.575
What makes a good day?,"What makes a good day? A new set of statistics to inform our daily life will show the world's best energy consumption trends, and help you get ahead on your way out.",before,0.4590909090909091,0.3386363636363637
How would you define success?,"How would you define success? I am not trying to say that I have no desire for growth. That is because my life has been structured around a more traditional path of thinking about the future, and rather than focusing on it in terms by definition or criteria – which means being",before,0.2,0.34375
What is your favorite food and why?,What is your favorite food and why?,before,0.5,1.0
How do you handle stress?,"How do you handle stress? You have to be really careful with your body. You can make sure that the muscles in your spine are fully contracted and there is no problem if they aren't tightened on a regular basis at all but by working hard every day, it's possible",before,0.021666666666666667,0.7014957264957264
What are your thoughts on silence?,What are your thoughts on silence? Let us know in the comments.,before,0.0,0.0
What does comfort mean to you?,"What does comfort mean to you? I’ve got it. I don't know if anyone else is in the room, but my feelings are so strong that they help me stay awake and not worry about anything other than sleep or a bad night's day (which probably isn",before,-0.17604166666666665,0.615625
How do you feel about being alone?,"How do you feel about being alone? How many times did I have a feeling that my partner was in trouble, or something else happened to me and left the relationship lasting for 20 years before it ended when they married?! I think this is not our personal belief system but rather how we",before,0.10208333333333335,0.20833333333333334
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. ※I didn't know how to respond, was I not looking for some kind of thing or anybody at the time,"" said Ms. Noggin who is now serving as an outreach coordinator on this event in New Orleans and with her husband",before,0.24545454545454545,0.5626262626262627
How do you feel about mornings?,"How do you feel about mornings? I have to say, I am feeling a great deal more energized and motivated than ever. There's no excuse for my life not doing it every day: being able (and making choices) that make me happier is an important part of all",before,0.445,0.585
Describe a walk in the park.,"Describe a walk in the park. A good way to make sure you can get this place at all times with your phone, but if not always have it ready for use from time to date (or just as soon as possible). Please be careful why so many people are waiting instead",before,0.3,0.7481481481481481
What makes a good day?,"What makes a good day? The best part is, the second half of this season will be more than just fun. It's great for everyone and I'm excited to see what we can do now."" ""I've been really impressed by all those teams that have put",before,0.5009259259259259,0.4740740740740741
How would you define success?,"How would you define success?” What is a good story that matters to your audience at least, if not the most important thing in any of those parts? Here are two questions for each. First they'll be interesting: What do I tell them about my experience with",before,0.33571428571428574,0.4761904761904762
What is your favorite food and why?,"What is your favorite food and why? I always try to find a way for me to make that dish. I love the crispy stuff, but it's also too light!",before,0.5,0.7666666666666666
How do you handle stress?,"How do you handle stress? I‣m not sure. I am very conscious of the physical impact that comes with having to cope with your emotions and what it means for me as a person, but if so how would being in my life be affected by this situation go",before,-0.04,0.5605820105820105
What are your thoughts on silence?,What are your thoughts on silence?,before,0.0,0.0
What does comfort mean to you?,"What does comfort mean to you? Do your best to stay in touch with the people who have sent this message or provide a call for help. The first step can be as simple as asking someone: ""If they'd like me if I wanted them, do it right."" In",before,0.2446428571428571,0.4427380952380952
How do you feel about being alone?,"How do you feel about being alone? I'm curious what happens if your mind is turned on an event that most people won't be able to watch. It's quite possible, it might seem like the events could happen and they're not in a particular location or place but rather just",before,0.21333333333333332,0.6916666666666667
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. We're on the road to our meeting with J-Rod (the guy who brought us up and let him know that we were going to be having dinner, but I never got back into it.) There's been no one else in this town",before,0.0,0.16666666666666666
How do you feel about mornings?,"How do you feel about mornings? If I am in a long-term coma, and when possible it is very unlikely that my brain will be functioning properly. If the condition does not improve enough then we may experience an emergency episode or worse at night.""",after,-0.19166666666666665,0.47500000000000003
Describe a walk in the park.,"Describe a walk in the park. The ride is just one part of an ambitious project — and it's almost too easy to get lost on how far you can go if your bike doesn't take off or run very quickly.""",after,0.3041666666666667,0.8083333333333333
What makes a good day?,"What makes a good day? I guess this is for the first time as I try to stay healthy. It's easy, if you like it and want to learn more about your diet then go ahead!",after,0.5016666666666667,0.5533333333333333
How would you define success?,"How would you define success? I won't say yes, but I'll tell ya here. All the above is for those who are not familiar with how to design a business model within your company and have been in it since before my first day as CEO of an online venture",after,0.090625,0.23333333333333334
What is your favorite food and why?,"What is your favorite food and why? What are you trying to do with it, what kind of foods or how much time will I take them for on a trip in the morning when they're really out there getting into their day off. I love these things! The other thing that",after,0.3333333333333333,0.5458333333333334
How do you handle stress?,"How do you handle stress? I love how it works! What is your favorite part of the day or practice for a week, and what are some tips to help get back on track as soon possible when we finish our 5-day routine (and not too late!), don",after,0.15,0.64
What are your thoughts on silence?,What are your thoughts on silence? A great idea for anyone interested in how to use it.,after,0.525,0.625
What does comfort mean to you?,"What does comfort mean to you? I don't know. I'm not sure if the answer is, but there's a little bit of truth in that...",after,-0.25,0.6921296296296297
How do you feel about being alone?,"How do you feel about being alone? I'm not sure whether or how I'd be happy if my mom was able to talk. When she thought it would happen, most of us had already heard that there's a better way than talking! And then something happened and we started calling",after,0.43499999999999994,0.7027777777777777
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. ""When I was in the car, they were saying 'Hey we're going to do this,'"" Tarr said of getting into his Nissan Altima 3 and driving it around town by yourself for about an hour or two before turning left at midnight",after,0.0,0.16666666666666666
How do you feel about mornings?,"How do you feel about mornings? Do I have the feeling that some of your colleagues in a private room are not meeting their needs and they don't want to be there yet…or could someone try out something or maybe give them an idea for it. It may take hours, but",after,0.0,0.375
Describe a walk in the park.,"Describe a walk in the park. Then, you'll see it all for yourself! So here's my favorite part of this story from Star Wars: The Force Awakens (and not just that one). It is literally an adventure and fun ride where everyone gets to experience events like these",after,0.4,0.6
What makes a good day?,"What makes a good day? I think it's important to take precautions. For example, let us never forget that this is exactly what happens when someone goes out in the street with their clothes on and everybody else has them covered for fear of being attacked or something like that!",after,0.4708333333333334,0.6166666666666667
How would you define success?,"How would you define success? Are there any other ways to make this a reality for all people from both sides of the aisle, and in addition to using common sense as an example?"" asks S.D., who has worked at many national organizations where he was hired by President Barack",after,0.09375,0.34375
What is your favorite food and why?,"What is your favorite food and why? I will be doing my best to bring them home. However, it might take a while for me to get that feeling of getting something special from their place at the same time so I can't wait until they are ready.  My goal with",after,0.4114285714285715,0.4992857142857143
How do you handle stress?,"How do you handle stress? If so, please share your experience and thoughts in the comments below.",after,0.0,0.0
What are your thoughts on silence?,"What are your thoughts on silence? This is a question that has been asked many times in the past, but you have not yet answered. Do people think we should be afraid of speaking to them because they would feel unsafe coming into our home and having children around us - especially if",after,-0.0875,0.6625
What does comfort mean to you?,"What does comfort mean to you? I'm not a psychologist. I am simply an ordinary person who has no interest in anything that might affect the way we feel about ourselves and our lives, but do have any illusions of happiness or fulfillment when it comes time for something better than me",after,0.159375,0.471875
How do you feel about being alone?,"How do you feel about being alone? The answer to this question is simple: You can't. When it comes to relationships, the response should be positive and friendly as well. Being self-reliant means that when we're in a relationship with others, there shouldn'a need",after,0.20075757575757577,0.4675324675324675
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. ""But we're going to have this conversation right now,"" he said in an interview with the Los Angeles Times on Wednesday night at his Washington, D'Ivoire home. The former Democratic presidential candidate has made headlines over recent months after tweeting",after,0.07142857142857142,0.27976190476190477
How do you feel about mornings?,How do you feel about mornings? Let's take a look at the results.,after,0.0,0.0
Describe a walk in the park.,"Describe a walk in the park. It is possible to make this experience feel real, fun and rewarding for everyone around us: people who are looking forward to going out with their new passion as they go along!",after,0.28011363636363634,0.6886363636363636
What makes a good day?,"What makes a good day? In this episode, we learn how to apply mindfulness techniques. The first time someone was asked if they knew about the meditation technique for their children's yoga teacher in China when he came across it and said ""you know exactly what you're doing""",after,0.39999999999999997,0.39444444444444443
How would you define success?,"How would you define success?” If ""success is your goal"" then this can be a useful tool for understanding the problem. Even in theory, failure happens when we use our ability to control ourselves and create new things that are not at all fun by virtue of us",after,0.16994949494949493,0.1590909090909091
What is your favorite food and why?,What is your favorite food and why? Do you have any questions or comments about it as well? Let us know in the comment section below!,after,0.625,1.0
How do you handle stress?,"How do you handle stress? I can't say when I feel like it's time to relax, but on the other hand — and that makes me proud. So why is there a way for my son to be able so much more without having some of his pain relief in",after,0.41875,0.625
What are your thoughts on silence?,What are your thoughts on silence? Do you have any suggestions to share with the public or should they be mentioned in a timely manner by people that seem more curious about how we feel and understand our own lives. The following is my personal perspective: I am not an atheist! In,after,0.16666666666666666,0.4944444444444444
What does comfort mean to you?,"What does comfort mean to you? I was really not looking for some kind of love or attachment. I just wanted something that felt like a home and the way it feels, which is wonderful.""",after,0.3375,0.6775
How do you feel about being alone?,"How do you feel about being alone? I think that's the key. I have to be able not to go through this or anything, just because it doesn't make sense for somebody who has a mental disability and is in danger of suicide.""",after,0.13333333333333333,0.6083333333333333
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. The two men were not arrested but they're charged with ""troubling conduct"" and violating the Fourth Amendment, according to court documents filed in Ummah County Superior Court today (Sept 10). They've been held on $2 million bail",after,0.2333333333333333,0.41111111111111115
How do you feel about mornings?,How do you feel about mornings? You can find us on Facebook.,after,0.0,0.0
Describe a walk in the park.,"Describe a walk in the park. The public is welcome to meet with and share information on what's happening here, how it will affect you along these lines or your city/state plans as well as any questions about other specific projects that would be required by this study:",after,0.16875,0.3666666666666667
What makes a good day?,"What makes a good day? Well, my wife is too busy to work the evening. I can't do that with her family (I'm not going to tell you in any way), but it's only because she has this bad habit of forgetting and leaving time for sleep when",after,0.025000000000000022,0.6416666666666667
How would you define success?,"How would you define success?” In the last few years I've been involved in a variety of other endeavors that are focused on getting people to join our communities, but some have found it difficult or impossible to do so consistently. Unfortunately this has led to many different strategies",after,-0.13240740740740742,0.5157407407407407
What is your favorite food and why?,What is your favorite food and why?,after,0.5,1.0
How do you handle stress?,"How do you handle stress?” I'm not sure. When I look back on my experience, it's just a matter of time before being reminded that these are the things we should be thankful for and how to deal with them as they grow in their lives (and",after,-0.125,0.4444444444444444
What are your thoughts on silence?,What are your thoughts on silence? Leave a comment below! The Story of the Day,after,0.0,0.0
What does comfort mean to you?,"What does comfort mean to you? I‖m afraid. I hope that, if someone else is going to do this and they give me a shot at it then just because my mind can't handle an issue or even what the other person wants with regards their personal situation are",after,-0.16750000000000004,0.4725
How do you feel about being alone?,"How do you feel about being alone? I don't think, of course. I'm not too sure if it's just a small thing that does an amazing job but is really worth taking care of when trying to put on your own! Sometimes people are very shy and lonely or have",after,0.16428571428571428,0.6626984126984127
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. ""I just didn't think it was all right,"" he said, ""and I'm glad that this has happened.""",after,0.2619047619047619,0.623015873015873
How do you feel about mornings?,"How do you feel about mornings? Tough. It’s hard to believe that the sun is shining and there's nothing wrong with it, but we all know this: The beauty of a few weeks in an office isn't just easy work — sometimes they are even harder",after,-0.17453703703703705,0.5347222222222222
Describe a walk in the park.,"Describe a walk in the park. I don't have any idea how long it takes to get there, but if you go through all sorts of things that are going on with your life and what's happening next then maybe they'll come back soon enough.""",after,-0.0125,0.225
What makes a good day?,"What makes a good day? I‪m not sure. My friends are in the same situation, because of this recent episode and my own reaction: ‏I am an icky kid on stage with little girls who don't like themselves as much…. well… so",after,0.08035714285714282,0.5662698412698413
How would you define success?,"How would you define success? I'd like to say that this is a very simple one. It will be written by some people from different backgrounds and I hope everyone can learn more about what it means for me, but there are too many questions in the world of how successful",after,0.3416666666666666,0.5023809523809524
What is your favorite food and why?,"What is your favorite food and why? We are really interested in the idea of sharing recipes with other people. So, we have a good start to get started (and if you enjoy reading about it or just want to read more then sign up here). We hope that this post will",after,0.37083333333333335,0.5791666666666667
How do you handle stress?,"How do you handle stress? I don't use too much of my time. I'm very happy with how well a person is doing, and has been able to make it happen in the past year or so."" This month's show was called ""Singing"" by",after,0.3625,0.51875
What are your thoughts on silence?,"What are your thoughts on silence? I think it's a really cool idea to write something about the subject. The time is so long before you start, and then we get our heads up that these people will be doing whatever they want: do good work with them or not;",after,0.20833333333333331,0.49583333333333335
What does comfort mean to you?,"What does comfort mean to you? It’s a pretty nice thing. I don't think it matters because there are many reasons why we should care about the world in general, and I do not see them as making us feel like they were somehow out of touch with what",after,0.21750000000000003,0.7375
How do you feel about being alone?,"How do you feel about being alone? In this post, I will try to explain why we are not so isolated from other people. This is because of our own personal experiences and how much they give us that sense of isolation or fear which helps them become more effective at coping with loneliness",after,0.29583333333333334,0.5291666666666667
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. ""Just walking by, you're like 'Whoa! What's that?' I was sitting on the couch and wondering how to get up,"" said Cinco della Serra (came from Spain). ""I just saw my wife",after,0.0,0.3333333333333333
